domain,nr_of_mlists,nr_of_localparts
ic.uma.es,1,1
ic4ic.com,1,1
iccs.gr,1,1
icerasemi.com,1,1
icloud.com,1,1
icm.siemens.com,4,5
icn.siemens.com,4,5
icn.siemens.de,18,91
icn.siemens.it,8,11
ico.com,2,5
icoe.att.com,1,1
icominfosys.com,1,1
icomverse.com,5,12
ictse.net,1,1
idemia.com,8,9
iee.org,1,1
ieee.org,7,8
ifrsys.com,3,3
igd.fraunhofer.de,1,1
iic.ac.in,1,1
iii.org.tw,5,9
iis-extern.fraunhofer.de,1,1
iis.fhg.de,1,5
iis.fraunhofer.de,9,30
iith.ac.in,4,5
ikivo.com,1,1
il.ibm.com,1,1
imap4.nttdocomo.co.jp,1,1
imraff.com,10,10
imst.de,1,1
in.huawei.com,2,2
inacon.de,1,1
inatel.br,1,1
inbglr.prairiecomm.com,2,2
india.hp.com,1,1
india.nec.com,8,8
ine.ericsson.se,2,2
inescporto.pt,1,1
inet.com,1,1
inet.intermin.fi,1,1
infineon.com,17,32
inmarsat.com,4,6
inno-networks.com,1,1
innowireless.co.kr,1,1
inria.fr,1,1
int-evry.fr,2,2
intel.com,58,251
intellinet-tech.com,3,3
intelsat.com,3,4
interdigital.com,40,118
interia.pl,2,2
interieur.gouv.fr,2,3
interlab.com,1,1
intertek.com,4,7
intracom.gr,1,1
intranet.gr,2,2
ipaccess.com,3,4
ipce.eu.sony.co.jp,5,7
ipcom-munich.com,1,1
ipmobile.jp,1,1
iprg.nokia.com,1,1
ipsg.mot.com,2,2
ipv.sx,1,1
ipwireless.com,8,22
irt.de,4,4
isc-ejpd.admin.ch,1,1
isd-nec.co.uk,2,2
iskratel.si,2,2
isl.melco.co.jp,3,4
italtel.it,3,4
itec.uni-klu.ac.at,1,1
itri.org.tw,11,29
its.bldrdoc.gov,9,15
its.se,1,1
ix.netcom.com,1,1
j-phone.com,1,1
japan-telecom.co.jp,1,1
jhuapl.edu,1,2
jinny.ie,2,2
jisc.ac.uk,1,1
jp.denso.com,1,1
jp.fujitsu.com,20,42
jp.panasonic.com,16,31
jp.sony.com,1,1
juniper.net,11,17
kapsch.net,6,8
kathrein.de,1,2
kddi-std.jp,10,16
kddi.com,16,46
kddilabs.jp,4,6
kepler.space,1,1
keysight.com,17,39
khgw.info.samsung.co.kr,4,7
kineto.com,6,11
kinetowireless.com,2,2
kitsnet.co.uk,1,1
klf.siemens.de,2,2
knowles.com,1,1
kontron.com,8,10
kpn.com,6,8
krdl.org.sg,3,3
krp.poliisi.fi,1,1
krri.re.kr,1,1
kryptonite.ru,1,1
kt.co.kr,5,6
kt.com,12,21
kticom.com,1,2
ktl.re.kr,4,7
kyocera-wireless.com,1,1
kyocera.com,2,3
kyocera.jp,4,8
l3harris.com,2,2
lab.ntt.co.jp,4,10
labs.att.com,6,18
labs.comsat.com,1,1
labs.fujitsu.com,1,1
labs.nec.cn,2,3
labs.sbc.com,3,4
laposte.net,1,1
lawfulinterception.com,1,2
lcnpl.com,1,1
le26.freeserve.co.uk,1,1
leapstone.com,1,1
legrand.fr,1,1
lenovo.com,14,42
leonardocompany.com,1,1
lep-philips.fr,1,1
lg-nortel.com,1,1
lgcit.com,2,2
lge.com,48,222
lgericsson.com,1,1
lgic.co.kr,3,4
lgsoftindia.com,1,1
lguplus.co.kr,6,8
li.bka.de,1,1
libero.it,1,1
life.com.ua,1,1
ligado.com,7,9
lightsquared.com,4,7
linkair.com,1,1
lis2.siemens.pt,1,1
list.etsi.org,2,2
litecore.net,2,2
live.co.uk,2,2
live.com,3,3
lmc.ericsson.se,2,2
lmco.com,1,1
lme.ericsson.se,2,2
lmf.ericsson.se,5,9
lntinfotech.com,4,4
logica.com,2,5
logicacmg.com,5,8
loon.com,2,2
lsi.com,1,1
lucent.com,19,111
lwp.se,1,1
lycos.com,2,2
mac.com,8,8
madrid.es.eu.ericsson.se,1,1
magenta.at,13,23
magic4.com,2,4
magnet.netlab.ntt.co.jp,2,2
magnoliabroadband.com,3,3
mahindrabt.com,1,1
mail.blu.it,7,8
mail.ndsc.com.cn,1,4
mail.ritt.com.cn,6,12
mail.tim.it,12,23
mail.ustc.edu.cn,1,1
mail.wind.it,1,1
mail.xidian.edu.cn,1,1
mail.zte.com.cn,3,6
mailcity.com,4,5
malibunetworks.com,2,2
mapletree.com,1,1
marconi.com,5,7
marconicomms.com,3,5
marvell.com,9,17
materna.de,5,13
mathworks.com,1,1
matrixx.com,10,10
mavenir.com,9,15
